question,answer,category,language
What scholarships are available specifically for female engineering students?,The Women in Engineering scholarship covers 50% of tuition for female students with GPA ≥15/20. Applications at https://www.iset-sfax.tn/vie-universitaire/bourses-femmes-ingenierie.,Student Life,en
How do I appeal a rejected scholarship application?,Scholarship appeals must be submitted within 14 days of notification. The appeal form is available at https://www.iset-sfax.tn/vie-universitaire/appel-bourse with supporting documentation.,Student Life,en
Where is the engineering materials lab located?,"The Engineering Materials Lab is in Building B, Floor 2, Room B-212. Equipment list and reservation system at https://www.iset-sfax.tn/formation/laboratoire-materiaux.",Course Information,en
How do I access the campus WiFi network?,Connect to 'ISET-Student' network using your student portal credentials. Technical setup guide at https://www.iset-sfax.tn/facilities/wifi. Signal available campus-wide.,Facilities,en
Are there lockers available for students?,"Lockers are available in Buildings A, C, and E on first-come basis. Register at https://www.iset-sfax.tn/facilities/lockers. Annual fee: 25 TND.",Facilities,en
What's the policy on makeup exams?,Makeup exams require documented medical or emergency justification submitted within 48 hours. Application form at https://www.iset-sfax.tn/academic-policies/makeup-exams.,Academic Policies,en
How many absences are allowed before failing a course?,Students failing to attend 80% of sessions automatically fail. Attendance policy details at https://www.iset-sfax.tn/academic-policies/attendance with exemption criteria.,Academic Policies,en
What's the process for appealing a grade?,Grade appeals must be filed within 10 days after posting. The process requires meeting with the instructor first. Form available at https://www.iset-sfax.tn/academic-policies/grade-appeals.,Academic Policies,en
How can I start a new student club?,"New clubs require a minimum of 15 student signatures, faculty advisor, and proposal submission at https://www.iset-sfax.tn/student-life/new-club. Review takes 3-4 weeks.",Student Life,en
What's the schedule for intramural sports?,"Intramural schedules are posted monthly at https://www.iset-sfax.tn/student-life/intramurals. Soccer, basketball, volleyball, and tennis currently offered weekday evenings.",Student Life,en
Are there music practice rooms on campus?,Four soundproofed practice rooms are available in the Arts Building. Reserve through https://www.iset-sfax.tn/student-life/music-rooms (maximum 2 hours daily).,Student Life,en
Does ISET Sfax host company recruitment events?,Company presentations occur weekly during recruitment season (October-November and March-April). Schedule at https://www.iset-sfax.tn/career-services/company-events.,Career Services,en
How do I apply for on-campus jobs?,"Student employment opportunities are posted at https://www.iset-sfax.tn/career-services/campus-jobs. Work limited to 20 hours/week during semesters, 40 hours during breaks.",Career Services,en
Can the Career Center help with graduate school applications?,Graduate school application assistance includes statement reviews and mock interviews. Book appointments at https://www.iset-sfax.tn/career-services/grad-school.,Career Services,en
What health insurance options exist for international students?,International students must have health coverage. University-partnered plans start at 450 TND annually. Comparison at https://www.iset-sfax.tn/international/health-insurance.,International Students,en
Are there cultural orientation programs for new international students?,A mandatory 3-day orientation for international students runs one week before semester start. Program details at https://www.iset-sfax.tn/international/orientation.,International Students,en
How can international students join the buddy program?,The International Buddy Program pairs new international students with locals. Apply by July 15th for fall semester at https://www.iset-sfax.tn/international/buddy-program.,International Students,en
What are the hours for the Academic Advising Office?,"Academic Advising is open Monday-Friday, 8:30-16:30. Schedule appointments at https://www.iset-sfax.tn/contact/advising or drop in during Wednesday open hours (13:00-16:00).",Contact & Location,en
How do I reach the campus security office?,Campus Security is available 24/7 at +216-74-431-499 or security@iset-sfax.tn. The main office is located at the main entrance. Emergency procedures at https://www.iset-sfax.tn/contact/security.,Contact & Location,en
Where is the Foreign Languages Department located?,"The Foreign Languages Department is in Building D, Floor 3. Department chair: Dr. Fatma Kammoun, languages@iset-sfax.tn, +216-74-431-444.",Contact & Location,en
How do I submit assignments through the student portal?,Assignment submission is through the 'Coursework' tab. Accepted formats and size limits described at https://www.iset-sfax.tn/student-portal/assignments. Keep submission confirmations.,Student Portal,en
Can I download course materials for offline access?,Offline access to course materials is available through the mobile app. Download instructions at https://www.iset-sfax.tn/student-portal/offline-access.,Student Portal,en
When are final grades posted to the student portal?,Final grades appear within 10 days after the exam period ends. Enable grade notification alerts in your profile settings for immediate updates.,Student Portal,en
What's the credit hour requirement for Computer Science degree?,The Computer Science program requires 180 ECTS credits (equivalent to 90 credit hours) over 3 years. Detailed credit distribution at https://www.iset-sfax.tn/courses/computer-science/requirements.,Course Information,en
Who teaches Artificial Intelligence courses?,AI courses are taught by Dr. Nizar Bouguila and Dr. Sana Fakhfakh. Their office hours and research interests are available at https://www.iset-sfax.tn/courses/computer-science/faculty.,Course Information,en
Can I take programming electives from day one?,First-year students must complete core programming courses before accessing electives. The recommended course sequence is available at https://www.iset-sfax.tn/courses/computer-science/sequence.,Course Information,en
What documents do I need for registration as a returning student?,"Returning students need student ID, proof of previous semester completion, and cleared financial status. Complete checklist at https://www.iset-sfax.tn/registration/returning-students.",Registration,en
Is there a limit to how many courses I can register for per semester?,Students may register for a maximum of 7 courses (35 ECTS) per semester. Exceptions require academic advisor approval and min. GPA of 15/20. Details: https://www.iset-sfax.tn/registration/course-load.,Registration,en
Can I register for courses at multiple ISET campuses?,Inter-campus registration is possible for up to 2 courses per semester with departmental approval. The application process is outlined at https://www.iset-sfax.tn/registration/inter-campus.,Registration,en
What funding options are available for low-income students?,Low-income students may qualify for need-based grants covering 40-100% of tuition. Income verification required. Apply at https://www.iset-sfax.tn/tuition/need-based-grants.,Tuition & Scholarships,en
Is there a discount for paying tuition in full?,Students paying full annual tuition in one installment receive a 5% discount if paid before September 15th. Payment instructions at https://www.iset-sfax.tn/tuition/payment-options.,Tuition & Scholarships,en
What's the refund policy if I withdraw from courses?,"Refunds are 80% within first 2 weeks, 50% within weeks 3-4, and 0% thereafter. Medical withdrawals evaluated case-by-case. Policy details: https://www.iset-sfax.tn/tuition/refunds.",Tuition & Scholarships,en
Where can I find quiet study spaces during peak hours?,"Alternative quiet study spaces include Building F mezzanine, Engineering courtyard, and basement level of Building A. Hours and noise policies at https://www.iset-sfax.tn/facilities/quiet-spaces.",Facilities,en
Is there equipment I can borrow for class projects?,"The Equipment Loan Center in Building C loans cameras, microphones, testing equipment, and more. Inventory and borrowing limits listed at https://www.iset-sfax.tn/facilities/equipment-loans.",Facilities,en
Are there shower facilities for students who commute by bicycle?,Shower and changing facilities are available in the Sports Complex and Building D basement. Access with student ID. Opening hours at https://www.iset-sfax.tn/facilities/commuter-services.,Facilities,en
Does ISET Sfax accept transfer credits from foreign universities?,Transfer credits from accredited foreign institutions require official transcript evaluation by ISET's credential service. Evaluation criteria at https://www.iset-sfax.tn/academic-policies/transfer-credits.,Academic Policies,en
What accommodations are available for students with disabilities?,"Disability accommodations include extended exam time, note-taking assistance, and accessible materials. Register with documentation at https://www.iset-sfax.tn/academic-policies/accessibility.",Academic Policies,en
Is there a minimum GPA requirement to graduate with honors?,"Honors recognition requires minimum GPA of 16/20 (Honorable), 17/20 (Distinguished), or 18/20 (Highest Distinction). Complete honors criteria at https://www.iset-sfax.tn/academic-policies/honors.",Academic Policies,en
How can I volunteer for community service through ISET?,The Community Engagement Office coordinates volunteer opportunities with local organizations. Register for projects at https://www.iset-sfax.tn/student-life/community-service.,Student Life,en
Are there study abroad programs available to ISET students?,ISET has exchange agreements with 12 international partners. Application deadlines and eligibility requirements at https://www.iset-sfax.tn/student-life/study-abroad.,Student Life,en
What mental health resources are available for students?,"The Wellness Center provides free counseling services, stress management workshops, and crisis intervention. Schedule appointments at https://www.iset-sfax.tn/student-life/wellness.",Student Life,en
Does the Career Center review cover letters?,Cover letter reviews are available by appointment or during drop-in hours (Mondays 13:00-15:00). Sample successful letters at https://www.iset-sfax.tn/career-services/cover-letters.,Career Services,en
How can I find information about alumni networking events?,Alumni networking events are scheduled quarterly and listed at https://www.iset-sfax.tn/career-services/alumni-networking. Register at least one week in advance.,Career Services,en
Are there interview preparation resources available?,"Interview preparation includes mock interviews, industry-specific question banks, and attire guidelines. Resources at https://www.iset-sfax.tn/career-services/interview-prep.",Career Services,en
What documents are required for residence permit applications?,"Residence permit applications require acceptance letter, passport, proof of accommodation, financial guarantee, and medical certificate. Templates at https://www.iset-sfax.tn/international/residence-permit.",International Students,en
Do international students have access to special tutoring services?,International students receive 5 hours of free subject tutoring weekly and ongoing language support. Schedule through https://www.iset-sfax.tn/international/tutoring.,International Students,en
Are there special events for cultural exchange among students?,The International Cultural Series features monthly events showcasing diverse cultures. Schedule and participation information at https://www.iset-sfax.tn/international/cultural-exchange.,International Students,en
How do I report maintenance issues in campus buildings?,Submit maintenance requests through the Facilities Portal at https://www.iset-sfax.tn/contact/maintenance or call the urgent repair line at +216-74-431-450 for emergencies.,Contact & Location,en
Who should I contact about lost and found items?,Lost and found is managed by Campus Security. Items are held for 60 days. Check or report lost items at https://www.iset-sfax.tn/contact/lost-found or visit the security office.,Contact & Location,en
Where can I find campus shuttle schedules?,"Campus shuttle timetables between main campus, residences, and downtown Sfax are posted at https://www.iset-sfax.tn/contact/transportation. Live tracking available on the ISET mobile app.",Contact & Location,en
How do I set up notifications for assignment deadlines?,Configure deadline notifications in the Portal Settings under Alerts & Reminders. Instructions at https://www.iset-sfax.tn/student-portal/notifications.,Student Portal,en
Can I access my class schedule on my phone?,Mobile schedule access is available through the ISET App. Download links and synchronization instructions at https://www.iset-sfax.tn/student-portal/mobile-access.,Student Portal,en
How do I join virtual classroom sessions through the portal?,Virtual classrooms are accessed through the 'Live Sessions' tab. Technical requirements and troubleshooting guide at https://www.iset-sfax.tn/student-portal/virtual-classrooms.,Student Portal,en
Where can I find information about accreditation for ISET programs?,All ISET Sfax programs are accredited by the Tunisian Ministry of Higher Education and Scientific Research. Accreditation certificates at https://www.iset-sfax.tn/courses/accreditation.,Course Information,en
How many credit hours are required for the Mechanical Engineering degree?,Mechanical Engineering requires 180 ECTS credits including 30 for the graduation project. Detailed requirements at https://www.iset-sfax.tn/courses/mechanical-engineering/credits.,Course Information,en
Can I access recorded lectures from previous semesters?,Lecture recordings are available for 12 months after course completion. Access archived materials at https://www.iset-sfax.tn/courses/recordings with your student credentials.,Course Information,en
How do I check if I'm eligible to register for advanced courses?,Prerequisite eligibility checks are automated in the registration system. Manual verification requests can be submitted at https://www.iset-sfax.tn/registration/prerequisites.,Registration,en
When does registration open for the spring semester?,Spring registration opens November 15th and closes December 20th. Early registration (for seniors) starts November 10th. Schedule at https://www.iset-sfax.tn/registration/timeline.,Registration,en
Is there a waiting list system for full courses?,Waiting lists are available for high-demand courses. Join through the registration portal. Policies and priority rules at https://www.iset-sfax.tn/registration/waiting-lists.,Registration,en
How can I apply for an athletic scholarship?,Athletic scholarships cover up to 70% of tuition for national-level competitors. Application requirements and deadlines at https://www.iset-sfax.tn/tuition/athletic-scholarships.,Tuition & Scholarships,en
Are there scholarships for students from rural areas?,The Rural Opportunity Scholarship targets students from designated rural regions. Eligibility map and application at https://www.iset-sfax.tn/tuition/rural-scholarships.,Tuition & Scholarships,en
What payment methods are accepted for tuition?,"Tuition payments accepted via bank transfer, online payment, or in-person at the campus cashier. International wire transfer instructions at https://www.iset-sfax.tn/tuition/payment-methods.",Tuition & Scholarships,en
How do I reserve a sports facility for team practice?,Sports facility reservations must be made 48 hours in advance through https://www.iset-sfax.tn/facilities/sports-reservations. Student group bookings receive priority on weekdays.,Facilities,en
"Is there a campus cafeteria, and what are its hours?","The main cafeteria operates 7:00-20:00 weekdays and 8:00-14:00 weekends. Menu, pricing, and satellite café locations at https://www.iset-sfax.tn/facilities/dining.",Facilities,en
Where can I print large-format posters for presentations?,The Print Center in Building E handles specialty printing including large-format posters and projects. Pricing and submission guidelines at https://www.iset-sfax.tn/facilities/print-center.,Facilities,en
What is the policy on academic probation?,Academic probation is triggered by semester GPA below 10/20 or cumulative GPA below 12/20. Support resources and restrictions detailed at https://www.iset-sfax.tn/academic-policies/probation.,Academic Policies,en
How are final exam conflicts handled?,Exam conflicts (three exams in 24 hours) qualify for rescheduling. Submit conflict forms at https://www.iset-sfax.tn/academic-policies/exam-conflicts at least 2 weeks before exam period.,Academic Policies,en
What's the policy on extended absences due to illness?,Extended medical absences require documentation from approved healthcare providers. Accommodation process outlined at https://www.iset-sfax.tn/academic-policies/medical-absence.,Academic Policies,en
How can I join the student government?,Student government elections occur each October. Nomination forms and campaign guidelines available at https://www.iset-sfax.tn/student-life/student-government.,Student Life,en
Are there student discounts for local businesses?,The ISET Student Card provides discounts at 40+ local businesses. Complete discount directory at https://www.iset-sfax.tn/student-life/discounts.,Student Life,en
What student media organizations can I join?,"Student media includes campus radio, magazine, and YouTube channel. Application guidelines and production schedules at https://www.iset-sfax.tn/student-life/media.",Student Life,en
How do internships work with the academic calendar?,Internships are integrated with the academic calendar during summer (10 weeks) or academic year (1 day/week). Schedule options at https://www.iset-sfax.tn/career-services/internship-timing.,Career Services,en
Are there industry mentorship programs available?,The Industry Mentorship Program matches students with professionals in their field. Apply by September 15th at https://www.iset-sfax.tn/career-services/mentorship.,Career Services,en
How do I get certified in industry-specific skills?,Industry certification preparation courses are offered through the Career Center. Schedule and exam fees listed at https://www.iset-sfax.tn/career-services/certifications.,Career Services,en
What banking services are available for international students?,Partner banks offer special accounts for international students with reduced fees. Representatives on campus every Wednesday. Details at https://www.iset-sfax.tn/international/banking.,International Students,en
Are airport pickup services available for new international students?,Complimentary airport pickup available from Sfax-Thyna Airport for new international students. Reservation required 72 hours in advance at https://www.iset-sfax.tn/international/airport-transfer.,International Students,en
How can international students celebrate their national holidays on campus?,International Cultural Celebration Days can be organized through the International Student Office. Planning guidelines at https://www.iset-sfax.tn/international/cultural-celebrations.,International Students,en
What public transportation options are available near campus?,"Public buses (#5, #12, #15) stop at the main gate every 15 minutes. Campus-to-downtown shuttle schedule at https://www.iset-sfax.tn/contact/public-transportation.",Contact & Location,en
How do I schedule an appointment with the Dean's office?,Dean's Office appointments require advance scheduling through the Administrative Secretariat. Request form available at https://www.iset-sfax.tn/contact/dean-appointment.,Contact & Location,en
Where are the ATMs located on campus?,"ATMs are located at the main entrance, Student Center, and Engineering Building. Service fees and supported banks listed at https://www.iset-sfax.tn/contact/banking-services.",Contact & Location,en
Can I create study groups in the student portal?,Virtual study groups can be created in the 'Collaboration' section. Set privacy settings and invite classmates. Instructions at https://www.iset-sfax.tn/student-portal/study-groups.,Student Portal,en
How do I request an official enrollment verification letter?,Enrollment verification letters can be requested through the 'Documents' section. Processing takes 2-3 business days. Verification at https://www.iset-sfax.tn/student-portal/verification-letters.,Student Portal,en
Is there a mobile app for the student portal?,"The ISET Mobile App provides portal access including schedules, grades, and announcements. Download for iOS/Android at https://www.iset-sfax.tn/student-portal/mobile-app.",Student Portal,en
What minors are available with the Computer Science major?,"Computer Science students can minor in Data Science, Cybersecurity, or Digital Business. Minor requirements at https://www.iset-sfax.tn/courses/computer-science/minors.",Course Information,en
How frequently are course offerings updated?,Course catalogs are updated annually with new offerings announced by April 30th. Review upcoming courses at https://www.iset-sfax.tn/courses/upcoming-offerings.,Course Information,en
What language courses are available beyond French and English?,"Language electives include Arabic, German, Spanish, and Italian at beginner through advanced levels. Placement test info at https://www.iset-sfax.tn/courses/languages.",Course Information,en
Can I change my major after the first year?,Major changes are possible after completing the first year with minimum GPA of 13/20. The application process is detailed at https://www.iset-sfax.tn/registration/change-major.,Registration,en
What's the process for requesting a leave of absence?,Leave of absence requests must be submitted at least 30 days before the semester start. Form and required documentation at https://www.iset-sfax.tn/registration/leave-absence.,Registration,en
Do I need to re-register if I've been away for a semester?,Students returning after an absence must complete the re-enrollment process. Documentation requirements and deadlines at https://www.iset-sfax.tn/registration/re-enrollment.,Registration,en
Are there emergency tuition loans available?,Emergency tuition assistance is available for students facing sudden financial hardship. Application criteria at https://www.iset-sfax.tn/tuition/emergency-assistance.,Tuition & Scholarships,en
What corporate scholarships are available for engineering students?,Eight engineering companies offer full scholarships with internship and employment opportunities. Company profiles and selection criteria at https://www.iset-sfax.tn/tuition/corporate-scholarships.,Tuition & Scholarships,en
How do I qualify for a teaching assistant position with tuition benefits?,Teaching assistantships provide 60% tuition reduction for 10 hours/week of service. Application requirements at https://www.iset-sfax.tn/tuition/assistantships.,Tuition & Scholarships,en
Are there bike rental or sharing services on campus?,The campus bike-sharing program offers 50 bicycles at 5 stations. Registration and usage fees at https://www.iset-sfax.tn/facilities/bike-sharing.,Facilities,en
What courses are available in the Mechanical Engineering program?,"Explore the Mechanical Engineering curriculum at https://www.iset-sfax.tn/courses/mechanical-engineering. For detailed syllabi, email mech@iset-sfax.tn or call +216-74-431-441.",Course Information,en
How do I apply for a transfer to ISET Sfax?,Transfer applications are processed through https://www.iset-sfax.tn/admissions/transfers. Submit required documents by June 15th for fall semester consideration. Contact transfers@iset-sfax.tn with questions.,Registration,en
Where can I find the lab safety guidelines?,Laboratory safety manuals are available online at https://www.iset-sfax.tn/facilities/lab-safety. All students must complete safety training before accessing labs. Download the PDF or request a printed copy at the lab administration office.,Facilities,en
What scholarships are available for international students?,International student scholarships include the Global Scholar Award and Tunisia-International Exchange Grant. Application details at https://www.iset-sfax.tn/tuition/international-scholarships. Deadline: March 30th.,Tuition & Scholarships,en
How do I access the online student portal?,Access the student portal at https://portal.iset-sfax.tn using your student ID and password. First-time users should follow the activation process described at https://www.iset-sfax.tn/student-portal/activation.,Student Portal,en
What is the deadline for thesis submissions?,Final thesis submissions are due three weeks before the end of the semester. Upload your document through https://www.iset-sfax.tn/academic-policies/thesis-submission and schedule your defense through your department.,Academic Policies,en
Are there internships for Electrical Engineering students?,"Electrical Engineering internships are listed at https://www.iset-sfax.tn/career-services/ee-internships. Partner companies include STEG, SIAME, and Sagemcom. For assistance, contact ee-internships@iset-sfax.tn.",Career Services,en
What are the library's weekend hours?,The library operates from 9:00-20:00 on Saturdays and 9:00-16:00 on Sundays during regular semesters. Holiday and exam period schedules at https://www.iset-sfax.tn/facilities/library-hours.,Facilities,en
How do I request a course withdrawal?,Course withdrawal requests must be submitted through https://www.iset-sfax.tn/registration/course-withdrawal before the 8th week of classes. Include your justification and instructor acknowledgment in the online form.,Registration,en
Where is the campus bookstore located?,"The campus bookstore is in Building A, Room 102. Hours: 8:30-16:30 Monday-Friday. Textbooks, supplies, and ISET merchandise available. Online ordering at https://www.iset-sfax.tn/facilities/bookstore.",Facilities,en
What is the grading scale for final exams?,ISET Sfax uses a 0-20 grading scale where 10/20 is the minimum passing grade. Grade distributions and scaling policies detailed at https://www.iset-sfax.tn/academic-policies/grading-scale.,Academic Policies,en
Are there student discounts for public transport?,Students receive a 50% discount on public transportation with a valid ISET ID. Apply for the transport card at https://www.iset-sfax.tn/student-life/transport-discounts or at the Student Services office.,Student Life,en
How do I contact the IT support team?,"IT support is available via email at it-support@iset-sfax.tn, by phone at +216-74-431-428, or in person at the IT Help Center in Building C. Hours: 8:00-17:00 weekdays.",Contact & Location,en
Can I audit a course without enrolling?,Course auditing requires instructor approval and a reduced fee of 300 TND per course. Application process and restrictions detailed at https://www.iset-sfax.tn/registration/audit-courses.,Registration,en
What are the cafeteria's payment options?,"The cafeteria accepts cash, credit cards, and meal plan cards. Discounted meal plans can be purchased at https://www.iset-sfax.tn/facilities/meal-plans. Weekly menus posted online every Sunday.",Facilities,en
How do I join the robotics club?,The Robotics Club meets Thursdays at 18:00 in Lab B-110. Register through https://www.iset-sfax.tn/student-life/robotics-club or attend any meeting to sign up. No experience required.,Student Life,en
What's the process for deferring a semester?,Semester deferral requests must be submitted at least 30 days before semester start. The application form and required documentation are available at https://www.iset-sfax.tn/registration/deferral.,Registration,en
Where can I find past exam papers?,"Past examination papers are archived in the library's digital repository at https://www.iset-sfax.tn/academic-resources/past-exams. Filter by department, course, and year. Access requires student login.",Academic Policies,en
How do I apply for on-campus housing?,On-campus housing applications open April 1st for the following academic year. Apply through https://www.iset-sfax.tn/facilities/housing. Priority given to first-year and international students.,Facilities,en
What are the tuition fees for part-time students?,Part-time students pay 800 TND per course (5 ECTS credits). A detailed breakdown of fees and payment schedule is available at https://www.iset-sfax.tn/tuition/part-time.,Tuition & Scholarships,en
Are there tutoring services for math courses?,Free math tutoring is available Monday-Thursday 14:00-18:00 in Room C-205. Schedule appointments through https://www.iset-sfax.tn/academic-policies/tutoring or drop in during open hours.,Academic Policies,en
How do I report broken lab equipment?,Report malfunctioning equipment through the maintenance portal at https://www.iset-sfax.tn/facilities/maintenance or notify lab staff immediately. Include equipment ID and issue description.,Facilities,en
What's the policy on late assignment submissions?,"Late assignments lose 10% of the maximum grade per day late, with no submissions accepted after 5 days. Detailed policy and exception requests at https://www.iset-sfax.tn/academic-policies/late-submissions.",Academic Policies,en
Where can I find the faculty directory?,"The complete faculty directory with profiles, office hours, and contact information is available at https://www.iset-sfax.tn/about/faculty-directory. Search by name, department, or research area.",Contact & Location,en
How do I request an official transcript?,Official transcript requests can be submitted online at https://www.iset-sfax.tn/academic-policies/transcript-requests. Processing takes 3-5 business days. Fee: 25 TND per copy.,Academic Policies,en
What workshops are offered this semester?,"Professional development workshops this semester include Python Programming, CAD Design, and Project Management. Full schedule and registration at https://www.iset-sfax.tn/career-services/workshops.",Career Services,en
Are there study abroad partnerships?,"ISET Sfax maintains exchange agreements with 14 international universities. Program options, eligibility requirements, and application forms at https://www.iset-sfax.tn/international/study-abroad.",International Students,en
